Year,ICPSR_State_Code,Alphanumeric_State_Code,State,Turnout_Rates_VEP_Total_Ballots_Counted,Numerators_Total_Ballots_Counted,Voting Eligible Population,Voting Age Population,Non_citizen,Prison,Probation,Parole,Total_Ineligible_Felon,Percent Ineligible Because of Felony Charges,Percent of Turnout Potentially Swayed by Ineligibilty
2002,49,44,Texas,34.5,4552059,13181016,15718593,12.1,164222,434486,103068,484533,3.082546892,10.6442601
2002,67,45,Utah,37.8,568290,1504529,1601707,6.5,5594,0,0,5594,0.349252391,0.984356579
2002,6,46,Vermont,49.4,232993,471403,472402,2.1,0,0,0,0,0,0
2002,40,47,Virginia,32.3,1661915,5138270,5536511,6,34733,40359,4530,59443,1.073654509,3.576777392
2002,73,48,Washington,43.5,1808720,4162032,4553733,7.3,16284,171603,95,102181,2.243895283,5.649354239
2002,56,49,West Virginia,31.5,440156,1398124,1413580,0.6,4703,6430,999,8917,0.630809717,2.025872645
2002,25,50,Wisconsin,,,3908088,4094028,2.6,22366,54614,11088,60761,1.484137383,#DIV/0!
2002,68,51,Wyoming,50.8,188028,370488,376121,1.6,1809,4596,570,4677,1.243482815,2.487395494
2000,0,0,United States,55.3,107390107,194331436,210623408,7.7,1377013,2339388,536039,3082746,1.463629342,2.870605204
2000,41,1,Alabama,,,3241682,3334576,1.5,26225,40178,5484,51798,1.553360907,#DIV/0!
2000,81,2,Alaska,68.7,287825,419111,440296,3.4,4173,4779,525,7088,1.609826117,2.462607487
2000,61,3,Arizona,46.4,1559520,3357701,3816498,10.3,26510,59810,3474,59889,1.569213452,3.840220068
2000,42,4,Arkansas,,,1925961,2001774,2.3,11915,28409,8659,34779,1.737408918,#DIV/0!
2000,71,5,California,56.6,11142843,19685258,24867252,18.8,163001,0,117647,280648,1.128584694,2.518639094
2000,62,6,Colorado,,,3026316,3246521,6.7,16833,0,5500,22333,0.687905607,#DIV/0!
2000,1,7,Connecticut,62.5,1474103,2357687,2575243,6.6,18355,47636,1868,44041,1.71016871,2.987647403
2000,11,8,Delaware,,,554863,594256,3.9,6921,20052,579,17526,2.949234,#DIV/0!
2000,55,9,District of Columbia,,,416696,458301,10.2,7456,0,0,7456,1.626878405,#DIV/0!
2000,43,10,Florida,57.5,6138765,10667193,12475387,10.4,71319,296139,5982,225371,1.80652512,3.6712759
2000,44,11,Georgia,47.6,2684951,5639668,6087332,5.9,44232,321407,21556,226492,3.720710485,8.435610184
2000,82,12,Hawaii,44.6,371113,832642,923737,8.1,5053,0,0,5053,0.54701717,1.361579896
2000,63,13,Idaho,58.9,516647,877406,935443,3.8,5535,35103,1409,24496,2.618652339,4.741341767
2000,21,14,Illinois,58.5,4932192,8432600,9208908,8.7,45281,0,0,45281,0.49170868,0.918070505
2000,22,15,Indiana,50.8,2246348,4424909,4527523,2.3,20125,0,0,20125,0.44450354,0.895898587
2000,31,16,Iowa,,,2082950,2199529,2.4,7955,21147,2763,21292,0.968025427,#DIV/0!
2000,32,17,Kansas,56.7,1092716,1927950,1983933,3.9,8344,0,3829,12173,0.613579188,1.114013156
2000,51,18,Kentucky,53.1,1568058,2955628,3059582,1.5,14919,19620,4614,29343,0.959052576,1.871295577
2000,45,19,Louisiana,56.7,1776133,3130267,3260060,1.6,35207,35854,22860,75994,2.331061392,4.278621027
2000,2,20,Maine,,,969292,979314,1.5,0,0,0,0,0,#DIV/0!
2000,52,21,Maryland,55.8,2036455,3649631,3972224,6.4,23538,81523,13666,77966,1.962779541,3.82851573
2000,3,22,Massachusetts,60.6,2736006,4517052,4870470,8,0,0,0,0,0,0
2000,23,23,Michigan,60.5,4279299,7070702,7370524,3.3,47718,0,0,47718,0.647416656,1.115089177
2000,33,24,Minnesota,70.1,2458303,3506432,3662005,3.7,6238,115906,3072,67263,1.836780671,2.736155795
2000,46,25,Mississippi,,,2024650,2076861,1,20241,15118,1596,29396,1.415405268,#DIV/0!
2000,34,26,Missouri,,,4052255,4190073,1.8,27382,53299,12563,66595,1.589351785,#DIV/0!
2000,64,27,Montana,62.6,417916,667525,676065,0.9,3105,0,0,3105,0.459275366,0.742972272
2000,35,28,Nebraska,57.8,707223,1224178,1266496,3.4,3895,21483,476,15113,1.193292359,2.136949732
2000,65,29,Nevada,45.6,613360,1346116,1523209,11.8,10063,12189,4056,20214,1.327066739,3.295617582
2000,4,30,New Hampshire,65,578656,890622,934176,2.7,2257,0,0,2257,0.241603295,0.390041752
2000,12,31,New Jersey,58.8,3293378,5601788,6356954,11,29784,130610,11709,106798,1.680018449,3.24281027
2000,66,32,New Mexico,49.9,615607,1234088,1318129,6.4,5342,10461,1670,12243,0.928816527,1.988768809
2000,13,33,New York,56.2,6960215,12380208,14344348,12.7,70198,0,57858,128056,0.892727923,1.839828224
2000,47,34,North Carolina,52.5,3015964,5744241,6143214,4.6,31532,105949,3352,87859,1.430179707,2.913131589
2000,36,35,North Dakota,61.1,292249,477968,482078,1.2,1076,0,0,1076,0.223200395,0.36817919
2000,24,36,Ohio,57.8,4795989,8295592,8487355,1.8,45833,0,0,45833,0.540015117,0.955652734
2000,53,37,Oklahoma,,,2475220,2568304,2.9,23181,30969,1825,40491,1.576565703,#DIV/0!
2000,72,38,Oregon,65.9,1559215,2364402,2595354,6.4,10580,0,0,10580,0.407651519,0.678546576
2000,14,39,Pennsylvania,,,9086897,9375146,2.4,36847,0,0,36847,0.393028546,#DIV/0!
2000,5,40,Rhode Island,54.7,412074,753877,804417,6.9,3286,20922,331,14078,1.75008733,3.41637667
2000,48,41,South Carolina,48.7,1433533,2944326,3025380,2.2,21778,44632,4378,48472,1.6021789,3.381296419
2000,37,42,South Dakota,58.7,322159,548498,554875,1.2,2616,0,0,2616,0.471457535,0.812021393
2000,54,43,Tennessee,50.5,2100241,4162996,4316391,2.2,22166,40682,8093,50600,1.172275635,2.40924732
2000,49,44,Texas,49.2,6407637,13033081,15138468,11.4,166719,441848,111719,499362,3.29862969,7.793231733
2000,67,45,Utah,54.8,784582,1431668,1534950,6.1,5632,0,0,5632,0.366917489,0.717834465
2000,6,46,Vermont,64.7,297146,459174,463503,2,0,0,0,0,0,0
2000,40,47,Virginia,55,2789808,5069265,5389008,5.6,30168,33955,5148,52294,0.970382675,1.874465913
2000,73,48,Washington,61.4,2517028,4098044,4419907,6.9,14915,154466,160,92308,2.088460232,3.667341007
2000,56,49,West Virginia,,,1390365,1405021,0.6,3856,6216,1112,8076,0.574795679,#DIV/0!
2000,25,50,Wisconsin,,,3842044,4016401,2.4,20612,53242,9923,57156,1.423065077,#DIV/0!
2000,68,51,Wyoming,61.4,221685,361078,366639,1.5,1680,4115,514,4252,1.15972387,1.918036854
1998,0,0,United States,39.3,74825832,190419570,205313182,7.3,1285469,2236975,515924,2919881,1.422159538,3.902236597
1998,41,1,Alabama,,,3202052,3293917,1.3,22676,40379,5221,48087,1.45987285,#DIV/0!
1998,81,2,Alaska,55.6,227156,408758,429317,3.2,4097,4274,478,6712,1.563413515,2.954797584
1998,61,3,Arizona,32.1,1037550,3232815,3628841,9.4,25311,51329,3742,54718,1.507864357,5.273769939
1998,42,4,Arkansas,,,1882181,1951741,1.9,10638,28698,6979,31966,1.637819772,#DIV/0!
1998,71,5,California,44.7,8617649,19264556,23980067,18.5,161904,0,108424,270328,1.127302939,3.136911239
1998,62,6,Colorado,,,2879973,3085075,6,14312,0,5204,19516,0.632594021,#DIV/0!
1998,1,7,Connecticut,43.7,1022453,2340956,2544417,6.2,17605,55000,1396,46501,1.827569931,4.547984113
1998,11,8,Delaware,,,540896,576849,3.4,5558,20030,572,16145,2.798826036,#DIV/0!
1998,55,9,District of Columbia,34.5,137523,398318,452668,9.8,9829,0,0,9829,2.171348538,7.14716811
1998,43,10,Florida,38.4,4070262,10590870,12001902,10,67224,283965,6487,215694,1.797165149,5.299265748
1998,44,11,Georgia,34.6,1842145,5326337,5828114,5.2,39262,278669,20482,199079,3.415839155,10.80691259
1998,82,12,Hawaii,49.6,412520,832172,910645,8.1,4924,0,0,4924,0.540715647,1.193639096
1998,63,13,Idaho,45.8,386720,843914,896422,3.5,4083,31172,1309,20978,2.340192454,5.424596607
1998,21,14,Illinois,42.7,3541379,8285614,9070725,8.2,43051,0,0,43051,0.474614763,1.215656387
1998,22,15,Indiana,37.2,1618689,4348730,4457578,2,19197,0,0,19197,0.430659879,1.185959749
1998,31,16,Iowa,46.1,973032,2112132,2176940,2.1,7394,18447,2194,18812,0.864148759,1.933338266
1998,32,17,Kansas,39.7,743288,1873438,1955236,3.5,8183,0,6025,14208,0.726664198,1.911506711
1998,51,18,Kentucky,41.5,1215053,2930780,2999287,1.3,14987,17594,4508,28292,0.943290855,2.3284581
1998,45,19,Louisiana,32,990243,3097660,3216121,1.6,32228,33028,18759,67501,2.098832724,6.81660966
1998,2,20,Maine,,,943577,957916,1.5,0,0,0,0,0,#DIV/0!
1998,52,21,Maryland,43.6,1556994,3571087,3879108,6,22572,78051,15528,77126,1.988240596,4.95351941
1998,3,22,Massachusetts,43.7,1935277,4430939,4793966,7.6,0,0,0,0,0,0
1998,23,23,Michigan,44.9,3143432,7005306,7276123,3.1,45879,0,0,45879,0.630541842,1.459519404
1998,33,24,Minnesota,62.3,2105343,3378089,3555108,3.3,5572,100818,2995,58976,1.658908815,2.801253762
1998,46,25,Mississippi,,,1995283,2038324,0.9,16678,11530,1489,23932,1.17410186,#DIV/0!
1998,34,26,Missouri,,,3978146,4106478,1.7,24974,49992,10366,60336,1.469288281,#DIV/0!
1998,64,27,Montana,51.8,338733,653998,662582,0.9,2734,0,0,2734,0.412628173,0.807125376
1998,35,28,Nebraska,48.6,581775,1197953,1247656,3,3676,16527,624,12564,1.007008342,2.159597783
1998,65,29,Nevada,35.7,440042,1233386,1402851,10.7,9651,12561,4055,19987,1.424741473,4.542066439
1998,4,30,New Hampshire,37.6,330555,878508,903630,2.5,2169,0,0,2169,0.240031871,0.65616917
1998,12,31,New Jersey,34.4,1894496,5505229,6261197,10.3,31121,129377,13218,109028,1.741328375,5.754987078
1998,66,32,New Mexico,43.1,517355,1199320,1286104,5.8,4985,10397,1773,11957,0.929707084,2.311178978
1998,13,33,New York,40.7,4989877,12263356,14139223,12.4,70001,0,59548,129549,0.916238467,2.59623634
1998,47,34,North Carolina,,,5624292,5948653,3.9,31961,105227,5806,90381,1.519352364,#DIV/0!
1998,36,35,North Dakota,45.7,217584,475629,481790,1.1,915,0,0,915,0.189916769,0.420527245
1998,24,36,Ohio,42.9,3534782,8237516,8424249,1.6,48450,0,0,48450,0.57512545,1.370664443
1998,53,37,Oklahoma,,,2415036,2518285,2.6,20892,29093,1532,36971,1.4681023,#DIV/0!
1998,72,38,Oregon,49,1160400,2370381,2526500,5.8,8927,0,0,8927,0.353334653,0.769303688
1998,14,39,Pennsylvania,,,9075961,9314795,2.2,36377,0,0,36377,0.39052926,#DIV/0!
1998,5,40,Rhode Island,42.8,309835,723772,790726,6.6,3445,21049,432,14402,1.821364164,4.648280536
1998,48,41,South Carolina,38.7,1092430,2825173,2931120,1.9,21764,46482,4404,49409,1.685669642,4.522852723
1998,37,42,South Dakota,49.8,266355,534711,543074,1.1,2422,0,0,2422,0.445979738,0.909312759
1998,54,43,Tennessee,25.1,1026017,4092745,4217608,1.9,17738,38924,7605,44805,1.062332014,4.366886709
1998,49,44,Texas,,,12490423,14504988,10.6,144510,443688,109820,476174,3.282829327,#DIV/0!
1998,67,45,Utah,36.7,506553,1381989,1467078,5.5,4453,0,0,4453,0.30352851,0.879078793
1998,6,46,Vermont,50.4,224382,444772,453574,1.9,0,0,0,0,0,0
1998,40,47,Virginia,,,4900523,5222121,5.2,30276,30576,6700,52264,1.000819399,#DIV/0!
1998,73,48,Washington,49.3,1939421,3930400,4294765,6.4,14161,152140,375,90606,2.109684698,4.671806689
1998,56,49,West Virginia,29.2,405139,1388176,1403549,0.5,3478,6511,975,7709,0.549250507,1.902803729
1998,25,50,Wisconsin,,,3801514,3945060,2.2,18613,54232,9282,55011,1.394427461,#DIV/0!
1998,68,51,Wyoming,51,178401,350136,359119,1.4,1571,3825,448,3932,1.09490169,2.20402352
1996,0,0,United States,,,186347044,200015917,6.8,1162253,1865990,491165,2586413,1.293103588,#DIV/0!
1996,41,1,Alabama,,,3144249,3227688,1.2,21760,37865,4966,45659,1.41460389,#DIV/0!
1996,81,2,Alaska,60.7,245212,404180,423702,3.1,3716,3999,642,6358,1.500582957,2.592858425
1996,61,3,Arizona,46.5,1431342,3079908,3414380,8.4,22493,40607,3785,46582,1.364288685,3.254428362
1996,42,4,Arkansas,,,1844689,1903094,1.6,9407,25178,5459,27455,1.442650757,#DIV/0!
1996,71,5,California,55,10263490,18644593,23076427,18.1,146049,0,99578,245627,1.064406548,2.393211276
1996,62,6,Colorado,,,2770252,2939929,5.2,12483,0,3294,15777,0.536645613,#DIV/0!
1996,1,7,Connecticut,60.4,1410746,2337160,2528212,5.8,15007,55978,1083,44079,1.743485119,3.124517099
1996,11,8,Delaware,52.5,277418,528630,559598,3,5110,16528,591,13965,2.495541442,5.033919933
1996,55,9,District of Columbia,47.4,189210,398839,450182,9.3,9376,0,0,9376,2.082713214,4.955340627
